Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Compaxo Vlees Zevenaar BV;www.compaxo.nl;0316-584444;9069623.0;ZEVENAAR;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU02990012;GM0299;6902.0;6902PK;BU02990012;GM0299;6902.0;6902PK;BU02990012;GM0299;6902.0;6902PK;False;False;False;51.936400005463156;6.090070002392926;WarmteAtlas:CondensWarmte;;;
Fa. W. Kosse en Co.;www.kossevlees.nl;0523-615944;5034964.0;DEDEMSVAART;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU01600907;GM0160;7701.0;7701PJ;BU01600907;GM0160;7701.0;7701PJ;BU01600907;GM0160;7701.0;7701PJ;False;False;False;52.588400005741086;6.482870002278484;WarmteAtlas:CondensWarmte;;;
Hartjes Vlees BV;www.hartjesvlees.nl;0412-648435;16028138.0;OSS;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU08280500;GM0828;5348.0;5348LA;BU08280500;GM0828;5348.0;5348LA;BU08280500;GM0828;5348.0;5348LA;False;False;False;51.77730000559773;5.551390001351253;WarmteAtlas:CondensWarmte;;;
Vion Groenlo BV;www.vion-in-nederland.com;0544-476100;8050304.0;GROENLO;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU15860612;GM1586;7141.0;7141JH;BU15860612;GM1586;7141.0;7141JH;BU15860612;GM1586;7141.0;7141JH;False;False;False;52.050600005231935;6.6242900020093;WarmteAtlas:CondensWarmte;;;
Vleesbedrijf Bolscher BV;www.bolscher.nl;053-4800100;8089529.0;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU01530700;GM0153;7547.0;7547RW;BU01530700;GM0153;7547.0;7547RW;BU01530700;GM0153;7547.0;7547RW;False;False;False;52.22140000580447;6.83506000228178;WarmteAtlas:CondensWarmte;;;
Atalay Uitbeenbedrijf BV;www.atalay-uitbeenbedrijf.nl;053-7504664;55417078.0;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU01530300;GM0153;7521.0;7521BE;BU01530300;GM0153;7521.0;7521BE;BU01530300;GM0153;7521.0;7521BE;False;False;False;52.22250000546086;6.87179000206406;WarmteAtlas:CondensWarmte;;;
Uitbeenbedrijf Rien van Oss BV;www.uitbeenbedrijfrien.nl;0418-636072;16040961.0;VELDDRIEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU02630001;GM0263;5334.0;5334JP;BU02630001;GM0263;5334.0;5334JP;BU02630001;GM0263;5334.0;5334JP;False;False;False;51.77060000509728;5.31165000059891;WarmteAtlas:CondensWarmte;;;
Van Hessen BV;www.vanhessen.com;0180-330100;29042012.0;NIEUWERKERK AD IJSSEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU18920402;GM1892;2913.0;2913LV;BU18920402;GM1892;2913.0;2913LV;BU18920402;GM1892;2913.0;2913LV;False;False;False;51.97630000543395;4.608800000920688;WarmteAtlas:CondensWarmte;;;
Vleesverwerkingsbedrijf M. Stolk BV;;033-8887866;30125332.0;AMERSFOORT;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU03073102;GM0307;3826.0;3826AW;BU03073102;GM0307;3826.0;3826AW;BU03073102;GM0307;3826.0;3826AW;False;False;False;52.19940000585212;5.427560001176742;WarmteAtlas:CondensWarmte;;;
Vion Retail Groenlo BV;www.vionconvience.nl;0544-473100;8033640.0;GROENLO;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU15860612;GM1586;7141.0;7141JE;BU15860612;GM1586;7141.0;7141JE;BU15860612;GM1586;7141.0;7141JE;False;False;False;52.05240000584758;6.623900002532727;WarmteAtlas:CondensWarmte;;;
L. van Schaik Uitbeenbedrijf BV;;070-4042780;27134526.0;WATERINGEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU17830612;GM1783;2292.0;2292JB;BU17830612;GM1783;2292.0;2292JB;BU17830612;GM1783;2292.0;2292JB;False;False;False;52.016400005111116;4.289620000356708;WarmteAtlas:CondensWarmte;;;
Van den Boom Kwaliteitsvlees BV;;0413-212381;16024676.0;ERP;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU19480111;GM1948;5469.0;5469DZ;BU19480111;GM1948;5469.0;5469DZ;BU19480111;GM1948;5469.0;5469DZ;False;False;False;51.590800005168454;5.6164000009285555;WarmteAtlas:CondensWarmte;;;
G.J. Hutten en Zonen BV;www.vleesverwerkinghutten.nl;0572-321220;38011007.0;HEETEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU01770501;GM0177;8111.0;8111CW;BU01770501;GM0177;8111.0;8111CW;BU01770501;GM0177;8111.0;8111CW;False;False;False;52.32790000595936;6.287530001585058;WarmteAtlas:CondensWarmte;;;
Ganeshi Vleesverwerking BV;;053-8511391;6090801.0;ENSCHEDE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU01530808;GM0153;7534.0;7534PJ;BU01530808;GM0153;7534.0;7534PJ;BU01530808;GM0153;7534.0;7534PJ;False;False;False;52.212900005849775;6.942430002220049;WarmteAtlas:CondensWarmte;;;
Vleesbewerking Van der Pijl BV;www.vleesbewerkingvanderpijl.nl;0172-515328;28044571.0;NIEUWKOOP;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU05690002;GM0569;2421.0;2421LT;BU05690105;GM0569;2421.0;2421LT;BU05690105;GM0569;2421.0;2421LT;True;False;False;52.16090000534411;4.78459000074508;WarmteAtlas:CondensWarmte;;;
Rendac Son BV;www.rendac.com;0499-364500;17066640.0;SON EN BREUGEL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU08480009;GM0848;5691.0;5691NM;BU08480009;GM0848;5691.0;5691NM;BU08480009;GM0848;5691.0;5691NM;False;False;False;51.50450000519183;5.4456700014922985;WarmteAtlas:CondensWarmte;;;
Commandeur Eko Vlees BV;www.commandeurekovlees.nl;0229-540960;53674774.0;DE GOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU15980708;GM1598;1648.0;1648GD;BU15980708;GM1598;1648.0;1648GD;BU15980708;GM1598;1648.0;1648GD;False;False;False;52.624400005529125;4.961500001297339;WarmteAtlas:CondensWarmte;;;
G. van Dalen's Vleescentrale BV;www.gvandalen.nl;0224-214884;37089442.0;SCHAGEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU04410280;GM0441;1742.0;1742NW;BU04410280;GM0441;1742.0;1742NW;BU04410280;GM0441;1742.0;1742NW;False;False;False;52.777600005858034;4.809650000565319;WarmteAtlas:CondensWarmte;;;
Detailresult Slagerijen BV;www.dekamarkt.nl;0251-276617;34043232.0;VELSEN-NOORD;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU04530505;GM0453;1951.0;1951NJ;BU04530505;GM0453;1951.0;1951NJ;BU04530505;GM0453;1951.0;1951NJ;False;False;False;52.46730000526755;4.660450000250669;WarmteAtlas:CondensWarmte;;;
Uitbeenbedrijf A. Trzonnek BV;;06-51451882;14058676.0;ECHT;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU17110524;GM1711;6101.0;6101JD;BU17110524;GM1711;6101.0;6101JD;BU17110524;GM1711;6101.0;6101JD;False;False;False;51.10600000530587;5.877770001926042;WarmteAtlas:CondensWarmte;;;
Ekro BV;www.ekro.nl;055-5492192;8033633.0;APELDOORN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU02000406;GM0200;7333.0;7333NP;BU02000406;GM0200;7333.0;7333NP;BU02000406;GM0200;7333.0;7333NP;False;False;False;52.18010000551802;5.979720002162241;WarmteAtlas:CondensWarmte;;;
Vion Tilburg BV;www.vionfood.nl;013-4620800;18033277.0;TILBURG;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU08552905;GM0855;5013.0;5013BD;BU08552905;GM0855;5013.0;5013BD;BU08552905;GM0855;5013.0;5013BD;False;False;False;51.566800005499964;5.10300000087852;WarmteAtlas:CondensWarmte;;;
Vleesindustrie Valkenswaard BV;www.vleesvalkenswaard.com;;14037090.0;VALKENSWAARD;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU08580007;GM0858;5555.0;5555XL;BU08580007;GM0858;5555.0;5555XL;BU08580007;GM0858;5555.0;5555XL;False;False;False;51.35000000471121;5.489180000931081;WarmteAtlas:CondensWarmte;;;
Westfort Gorinchem BV;www.westfort.nl;0183-665100;30192681.0;GORINCHEM;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU05120900;GM0512;4202.0;4202MS;BU05120900;GM0512;4202.0;4202MS;BU05120900;GM0512;4202.0;4202MS;False;False;False;51.833200004979496;4.941780000219516;WarmteAtlas:CondensWarmte;;;
Vee- en Vleeshandel Beernink BV;;0541-521624;6080237.0;OLDENZAAL;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU01730800;GM0173;7575.0;7575BW;BU01730800;GM0173;7575.0;7575BW;BU01730800;GM0173;7575.0;7575BW;False;False;False;52.29500000540097;6.92025000231284;WarmteAtlas:CondensWarmte;;;
Plukon Blokker BV;www.plukon.nl;0229-262720;36014431.0;BLOKKER;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU04053309;GM0405;1695.0;1695GD;BU04053309;GM0405;1695.0;1695GD;BU04053309;GM0405;1695.0;1695GD;False;False;False;52.66020000617462;5.105750000402985;WarmteAtlas:CondensWarmte;;;
Pluimveeverwerking Jan van Ee BV;www.janvanee.nl;0342-441305;24252610.0;STROE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU02035960;GM0203;3776.0;3776LP;BU02035960;GM0203;3776.0;3776LP;BU02035960;GM0203;3776.0;3776LP;False;False;False;52.176900005548745;5.696060001847499;WarmteAtlas:CondensWarmte;;;
Broviand VOF;www.broviand.nl;0493-496248;17107052.0;SOMEREN;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU08470009;GM0847;5711.0;5711LD;BU08470402;GM0847;5711.0;5711LD;BU08470402;GM0847;5711.0;5711LD;True;False;False;51.385800004973234;5.729720001800442;WarmteAtlas:CondensWarmte;;;
T.J. Brouwers Holding BV;;0165-382343;20017875.0;ST. WILLEBRORD;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU08400100;GM0840;4711.0;4711EK;BU08400100;GM0840;4711.0;4711EK;BU08400100;GM0840;4711.0;4711EK;False;False;False;51.55900000501453;4.58996000070165;WarmteAtlas:CondensWarmte;;;
Van der Linden Poultry Products BV;;077-3072525;12017531.0;BERINGE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU18940100;GM1894;5986.0;5986NH;BU18941102;GM1894;5986.0;5986NH;BU18941102;GM1894;5986.0;5986NH;True;False;False;51.33740000488701;5.935840001962869;WarmteAtlas:CondensWarmte;;;
Exportslachterij Clazing BV .;www.clazing.nl;0180-632247;29026498.0;ZEVENHUIZEN ZH;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU18920292;GM1892;2761.0;2761JH;BU18920292;GM1892;2761.0;2761JH;BU18920292;GM1892;2761.0;2761JH;False;False;False;51.99740000515355;4.604110001102391;WarmteAtlas:CondensWarmte;;;
Storteboom Sprundel BV;www.storteboom.nl;0165-380600;18122393.0;SPRUNDEL;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU08400201;GM0840;4714.0;4714RD;BU08400201;GM0840;4714.0;4714RD;BU08400201;GM0840;4714.0;4714RD;False;False;False;51.53680000486006;4.585370000568219;WarmteAtlas:CondensWarmte;;;
Pluimveeslachterij G.P. Remkes BV;www.remkes.nl;0578-612672;8061509.0;EPE;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU02320007;GM0232;8161.0;8161PG;BU02320007;GM0232;8161.0;8161PG;BU02320007;GM0232;8161.0;8161PG;False;False;False;52.34420000599361;5.993590002527251;WarmteAtlas:CondensWarmte;;;
Langeveld/Sleegers BV;www.langeveld-sleegers.nl;024-6489900;12036519.0;WIJCHEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU02960101;GM0296;6604.0;6604LL;BU02960101;GM0296;6604.0;6604LL;BU02960101;GM0296;6604.0;6604LL;False;False;False;51.83280000504839;5.751040001935641;WarmteAtlas:CondensWarmte;;;
Plukon Goor BV;www.pingo.nl;0547-284868;6020877.0;GOOR;1012;Pluimveeslachterijen;Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU17350007;GM1735;7471.0;7471ST;BU17350007;GM1735;7471.0;7471ST;BU17350007;GM1735;7471.0;7471ST;False;False;False;52.24530000598356;6.589410002330732;WarmteAtlas:CondensWarmte;;;
Nauwxs BV;www.nauwxs.nl;0578-621060;8042530.0;EPE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU02320007;GM0232;8161.0;8161PM;BU02320007;GM0232;8161.0;8161PM;BU02320007;GM0232;8161.0;8161PM;False;False;False;52.347400005262124;5.9934000021513665;WarmteAtlas:CondensWarmte;;;
Uitbeenbedrijf Compact BV;;030-2440088;30156277.0;DE MEERN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU03441024;GM0344;3453.0;3453SJ;BU03441024;GM0344;3453.0;3453SJ;BU03441024;GM0344;3453.0;3453SJ;False;False;False;52.082500005610136;5.0099200005154225;WarmteAtlas:CondensWarmte;;;
Haka Vlees BV;www.kossevlees.nl;0529-454186;5037882.0;OMMEN;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU01750105;GM0175;7731.0;7731TH;BU01750105;GM0175;7731.0;7731TH;BU01750105;GM0175;7731.0;7731TH;False;False;False;52.52740000563069;6.426790002423074;WarmteAtlas:CondensWarmte;;;
Exportslachterij J. Gosschalk en Zn BV;www.gosschalk.nl;0578-677000;8038155.0;EPE;1011;Slachterijen (geen pluimvee-);Biogas&Meststoffen;BioMassa;BioProductie;350;23.019698;45.795214;1608000;3034.296;58.172299;2042000;3820000;1843.934;BU02320007;GM0232;8161.0;8161PM;BU02320007;GM0232;8161.0;8161PM;BU02320007;GM0232;8161.0;8161PM;False;False;False;52.34750000582319;5.992060002388431;WarmteAtlas:CondensWarmte;;;
Poeliersbedrijf Brinkhorst BV;www.brinkhorst-ede.nl;0318-573600;9084703.0;DE KLOMP;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU02286001;GM0228;6745.0;6745XJ;BU02286001;GM0228;6745.0;6745XJ;BU02286001;GM0228;6745.0;6745XJ;False;False;False;52.04540000536288;5.573190001930779;WarmteAtlas:CondensWarmte;;;
Hesseling Vlees BV;www.hesseling.nl;0299-621421;37085186.0;PURMEREND;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU04390505;GM0439;1446.0;1446RJ;BU04390505;GM0439;1446.0;1446RJ;BU04390505;GM0439;1446.0;1446RJ;False;False;False;52.52190000550983;4.997250001328999;WarmteAtlas:CondensWarmte;;;
Gebr. Snijders Vleeswarenfabriek BV;www.snijdersvleeswaren.nl;046-4853037;14043062.0;BORN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU18830607;GM1883;6121.0;6121JP;BU18830607;GM1883;6121.0;6121JP;BU18830607;GM1883;6121.0;6121JP;False;False;False;51.03930000484227;5.8050800014676875;WarmteAtlas:CondensWarmte;;;
Ad van Geloven BV;www.advangeloven.com;013-4640680;18012279.0;TILBURG;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;150;9.865585;19.62652;689000;1300.143;24.930985;875000;1637000;790.063;BU08555904;GM0855;5048.0;5048AB;BU08555904;GM0855;5048.0;5048AB;BU08555904;GM0855;5048.0;5048AB;False;False;False;51.58880000547261;5.0664600013982115;WarmteAtlas:CondensWarmte;;;
Maasland Vleeswaren BV;www.maasland-vleeswaren.nl;077-3730303;39059813.0;BELFELD;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU09835106;GM0983;5951.0;5951DM;BU09835106;GM0983;5951.0;5951DM;BU09835106;GM0983;5951.0;5951DM;False;False;False;51.31820000542041;6.120110002455741;WarmteAtlas:CondensWarmte;;;
Vleeswarenfabriek Hapert BV;www.sleegers.biz;0497-381714;17059682.0;HAPERT;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU17280201;GM1728;5527.0;5527AN;BU17280201;GM1728;5527.0;5527AN;BU17280201;GM1728;5527.0;5527AN;False;False;False;51.374000004779596;5.268330000648728;WarmteAtlas:CondensWarmte;;;
Heijs Food Products BV;www.heijsgroep.nl;0528-280840;1054618.0;HOOGEVEEN;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;75;4.932792;9.81326;345000;651.015;12.465493;438000;819000;395.712;BU01186203;GM0118;7903.0;7903TP;BU01186203;GM0118;7903.0;7903TP;BU01186203;GM0118;7903.0;7903TP;False;False;False;52.73400000601076;6.51608000226482;WarmteAtlas:CondensWarmte;;;
Vleesgroothandel Tabara BV;www.tabara.nl;010-4294600;24276131.0;ROTTERDAM;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;35;2.30197;4.579521;161000;303.807;5.81723;204000;382000;184.016;BU05992194;GM0599;3087.0;3087BJ;BU05992194;GM0599;3087.0;3087BJ;BU05992194;GM0599;3087.0;3087BJ;False;False;False;51.894700005563415;4.456049999787352;WarmteAtlas:CondensWarmte;;;
Vonk Vleeswaren BV;www.vonkvleeswaren.nl;0182-342335;29030615.0;STOLWIJK;1013;Vleesverwerking (niet tot maaltijden);Biogas&Meststoffen;BioMassa;BioProductie;15;0.986558;1.962652;69000;130.203;2.493099;88000;164000;79.792;BU19311000;GM1931;2821.0;2821AT;BU19311000;GM1931;2821.0;2821AT;BU19311000;GM1931;2821.0;2821AT;False;False;False;51.96520000570494;4.7748800013444335;WarmteAtlas:CondensWarmte;;;
